神偷奶爸,2010,870245人评价
寄生虫,2019,1247507人评价
釜山行,2016,1085453人评价
阳光姐妹淘,2011,554989人评价
射雕英雄传之东成西就,1993,581157人评价
被解救的姜戈,2012,552344人评价
未麻的部屋,1997,281719人评价
恐怖直播,2013,593915人评价
哪吒闹海,39,232246人评价
我是山姆,2001,303614人评价
血战钢锯岭,2016,723160人评价
哈利·波特与火焰杯,4,569631人评价
头号玩家,1,1248761人评价
新世界,2013,357670人评价
七武士,1954,176811人评价
模仿游戏,2014,578897人评价
喜宴,1993,317283人评价
黑客帝国3：矩阵革命,22,409943人评价
花样年华,2000,536778人评价
头脑特工队,2015,548585人评价
电锯惊魂,2004,479215人评价
三块广告牌,2017,754561人评价
卢旺达饭店,2004,295975人评价
你的名字。,2016,1261326人评价
达拉斯买家俱乐部,2013,414059人评价
疯狂原始人,2013,773484人评价
上帝之城,2002,278169人评价
谍影重重3,3,384834人评价
英雄本色,1986,481863人评价
风之谷,1984,329579人评价
心迷宫,2014,464884人评价
惊魂记,1960,249767人评价
九品芝麻官,1994,588480人评价
纵横四海,1991,380014人评价
海街日记,2015,398966人评价
岁月神偷,1969,538787人评价
记忆碎片,2000,555089人评价
忠犬八公物语,1987,175295人评价
荒蛮故事,2014,401264人评价
爱在午夜降临前,2013,347406人评价
绿里奇迹,1999,289462人评价
爆裂鼓手,2014,523904人评价
小偷家族,2018,752466人评价
贫民窟的百万富翁,2008,690150人评价
色，戒,2007,675237人评价
真爱至上,2003,670253人评价
东邪西毒,1994,531111人评价
无敌破坏王,2012,486222人评价
疯狂的石头,2006,740256人评价
冰川时代,2002,561916人评价
雨中曲,39,195728人评价
黑天鹅,2010,733422人评价
你看起来好像很好吃,2010,304816人评价
恐怖游轮,2009,759987人评价
2001太空漫游,2001,281032人评价
雨人,1988,372181人评价
恋恋笔记本,2004,608059人评价
魔女宅急便,1989,415541人评价
茶馆,1982,101258人评价
遗愿清单,2007,395435人评价
城市之光,1931,128530人评价
萤火虫之墓,1988,379178人评价
可可西里,2004,272713人评价
大佛普拉斯,2017,397135人评价
无间道2,2003,411931人评价
牯岭街少年杀人事件,1991,253515人评价
虎口脱险,1966,228203人评价
源代码,2011,767190人评价
人工智能,2001,403323人评价
初恋这件小事,2010,916831人评价
海边的曼彻斯特,2016,457812人评价
背靠背，脸对脸,1994,103030人评价
东京教父,2003,186787人评价
罗生门,1950,283410人评价
小丑,2019,914236人评价
终结者2：审判日,2,312286人评价
青蛇,1993,474487人评价
奇迹男孩,2017,513132人评价
二十二,22,272851人评价
波西米亚狂想曲,2018,542419人评价
房间,2015,345869人评价
疯狂的麦克斯4：狂暴之路,2015,478507人评价
新龙门客栈,1992,401700人评价
无耻混蛋,2009,431539人评价
魂断蓝桥,1940,252795人评价
血钻,2006,342286人评价
千钧一发,1997,258023人评价
步履不停,2008,250861人评价
黑客帝国2：重装上阵,22,371123人评价
彗星来的那一夜,2013,504733人评价
战争之王,2005,330499人评价
崖上的波妞,2008,432852人评价
心灵奇旅,2020,857321人评价
爱乐之城,2016,789592人评价
谍影重重2,2,322730人评价
燃情岁月,1994,264076人评价
阿飞正传,1990,459817人评价
海洋,2009,149014人评价
谍影重重,2002,387832人评价
再次出发之纽约遇见你,2013,392332人评价
穿越时空的少女,2006,352668人评价
火星救援,2015,647652人评价
香水,2006,505676人评价
朗读者,2008,425736人评价
末路狂花,1991,211081人评价
地球上的星星,2007,188367人评价
我爱你,2011,151059人评价
完美陌生人,2016,488150人评价
千年女优,2001,225659人评价
驴得水,2016,847334人评价
聚焦,2015,253225人评价
浪潮,2008,253028人评价
肖申克的救赎,1995,2620092人评价
霸王别姬,1993,1945437人评价
阿甘正传,1994,1969838人评价
泰坦尼克号,1997,1930080人评价
这个杀手不太冷,1994,2121196人评价
美丽人生,1997,1210532人评价
千与千寻,2001,2046359人评价
辛德勒的名单,39,1009839人评价
盗梦空间,2010,1887716人评价
忠犬八公的故事,39,1291562人评价
星际穿越,2014,1578469人评价
楚门的世界,1998,1501035人评价
海上钢琴师,39,1535502人评价
三傻大闹宝莱坞,3,1712851人评价
机器人总动员,2008,1209042人评价
放牛班的春天,2004,1194757人评价
无间道,2002,1212270人评价
疯狂动物城,2016,1725629人评价
大话西游之大圣娶亲,1995,1401908人评价
熔炉,2011,853706人评价
控方证人,1957,460756人评价
教父,39,869526人评价
当幸福来敲门,2006,1391740人评价
触不可及,2011,973335人评价
怦然心动,2010,1667819人评价
龙猫,1988,1156246人评价
末代皇帝,1987,777990人评价
寻梦环游记,2017,1488025人评价
蝙蝠侠：黑暗骑士,2,963548人评价
活着,1994,750253人评价
哈利·波特与魔法石,39,1045943人评价
指环王3：王者无敌,2003,729144人评价
乱世佳人,1939,629667人评价
素媛,2013,617937人评价
飞屋环游记,2009,1209838人评价
摔跤吧！爸爸,3,1437599人评价
我不是药神,2018,1916919人评价
何以为家,2018,942867人评价
十二怒汉,12,433628人评价
哈尔的移动城堡,2004,916104人评价
少年派的奇幻漂流,2012,1244748人评价
鬼子来了,2000,563985人评价
大话西游之月光宝盒,101,1117860人评价
猫鼠游戏,2002,885359人评价
天空之城,1986,751096人评价
天堂电影院,1988,629490人评价
闻香识女人,1992,793749人评价
指环王2：双塔奇兵,2002,680797人评价
钢琴家,2002,547616人评价
让子弹飞,2010,1519928人评价
罗马假日,1953,877083人评价
海蒂和爷爷,2015,491488人评价
指环王1：护戒使者,1,769379人评价
黑客帝国,22,766114人评价
大闹天宫,1961,386226人评价
教父2,1974,492572人评价
死亡诗社,1989,641112人评价
辩护人,2013,542492人评价
狮子王,3,758229人评价
绿皮书,2018,1464282人评价
搏击俱乐部,1999,774036人评价
饮食男女,1994,553965人评价
美丽心灵,2001,699892人评价
本杰明·巴顿奇事,2008,898908人评价
窃听风暴,2006,513195人评价
情书,1995,980075人评价
穿条纹睡衣的男孩,2008,496026人评价
两杆大烟枪,1998,547576人评价
西西里的美丽传说,2000,889878人评价
看不见的客人,2016,1134589人评价
拯救大兵瑞恩,1998,590176人评价
音乐之声,1965,545924人评价
飞越疯人院,39,508562人评价
小鞋子,1997,371425人评价
阿凡达,2009,1265415人评价
哈利·波特与死亡圣器(下),2,739845人评价
沉默的羔羊,1991,797054人评价
海豚湾,2009,335796人评价
致命魔术,2006,781961人评价
禁闭岛,2010,877276人评价
布达佩斯大饭店,2014,831166人评价
蝴蝶效应,2004,852046人评价
美国往事,1984,376307人评价
心灵捕手,1997,643978人评价
低俗小说,1994,757010人评价
春光乍泄,1997,571790人评价
摩登时代,1936,269465人评价
七宗罪,7,870925人评价
喜剧之王,1999,877015人评价
致命ID,2003,739239人评价
杀人回忆,2003,631084人评价
功夫,3,979404人评价
哈利·波特与阿兹卡班的囚徒,3,628193人评价
超脱,2011,500305人评价
加勒比海盗,1,784077人评价
被嫌弃的松子的一生,2006,652811人评价
红辣椒,2006,402324人评价
狩猎,2012,346564人评价
请以你的名字呼唤我,2017,644912人评价
7号房的礼物,7,501520人评价
剪刀手爱德华,1990,967652人评价
勇敢的心,1995,525685人评价
断背山,2005,653825人评价
唐伯虎点秋香,1993,970667人评价
入殓师,2008,603764人评价
第六感,1999,504832人评价
天使爱美丽,39,905621人评价
哈利·波特与密室,2,654360人评价
重庆森林,1994,728813人评价
爱在黎明破晓前,1995,599527人评价
一一,2000,334860人评价
幽灵公主,1997,479688人评价
蝙蝠侠：黑暗骑士崛起,3,656476人评价
小森林 夏秋篇,2014,387948人评价
阳光灿烂的日子,1994,561072人评价
菊次郎的夏天,1999,535668人评价
超能陆战队,6,919259人评价
完美的世界,1993,278081人评价
无人知晓,2004,283060人评价
消失的爱人,2014,840053人评价
爱在日落黄昏时,2004,494136人评价
小森林 冬春篇,2015,347066人评价
借东西的小人阿莉埃蒂,2010,498376人评价
倩女幽魂,87,668533人评价
甜蜜蜜,1996,475715人评价
侧耳倾听,1995,418415人评价
幸福终点站,2004,511065人评价
时空恋旅人,2013,584732人评价
驯龙高手,2010,690724人评价
萤火之森,2011,478230人评价
玛丽和马克思,2009,395749人评价
怪兽电力公司,2001,602682人评价
教父3,1990,331820人评价
一个叫欧维的男人决定去死,2015,409991人评价
大鱼,2003,523238人评价
告白,2010,624592人评价
玩具总动员3,3,463361人评价
傲慢与偏见,2005,718040人评价
神偷奶爸,2010,870255人评价
寄生虫,2019,1247507人评价
釜山行,2016,1085469人评价
阳光姐妹淘,2011,554996人评价
射雕英雄传之东成西就,1993,581169人评价
